[t,theta1(t),theta2(t)] 
[1.544999999999989, 0.13973365344204497, 0.0019951057792338155] 
[1.549999999999989, 0.14047304188272286, -0.0005838300425383192] 
[1.5549999999999888, 0.14114402399984147, -0.0030948190568147555] 
[1.5599999999999887, 0.1417457844520206, -0.005536482288266408] 
[1.5649999999999886, 0.14227755979832715, -0.00790750853164083] 
[1.5699999999999885, 0.14273863828430502, -0.010206654090617866] 
[1.5749999999999884, 0.14312835959149062, -0.012432742472689379] 
[1.5799999999999883, 0.14344611455694556, -0.014584664049139424] 
[1.5849999999999882, 0.14369134486909577, -0.016661375688833743] 
[1.589999999999988, 0.14386354274589314, -0.018661900374118044] 
[1.594999999999988, 0.14396225060101658, -0.02058532680668005] 
[1.5999999999999879, 0.14398706070350872, -0.022430809010756236] 
[1.6049999999999878, 0.14393761483590473, -0.024197565940566233] 
[1.6099999999999877, 0.14381360395555653, -0.02588488109834077] 
[1.6149999999999876, 0.14361476786349042, -0.027492102168777052] 
[1.6199999999999875, 0.14334089488476157, -0.02901864067521251] 
[1.6249999999999873, 0.14299182156388948, -0.030463971662257134] 
[1.6299999999999872, 0.14256743237857286, -0.031827633409068724] 
[1.6349999999999871, 0.1420676594744948, -0.03310922717689679] 
[1.639999999999987, 0.14149248242364007, -0.03430841699396135] 
[1.644999999999987, 0.14084192800815687, -0.035424929480173686] 
[1.6499999999999868, 0.1401160700314054, -0.03645855371364858] 
[1.6549999999999867, 0.13931502915744767, -0.03740914114040247] 
[1.6599999999999866, 0.13843897277984588, -0.038276605528079446] 
[1.6649999999999865, 0.1374881149202501, -0.0390609229639982] 
[1.6699999999999864, 0.13646271615687358, -0.03976213189726707] 
[1.6749999999999863, 0.13536308358257057, -0.040380333224172775] 
[1.6799999999999862, 0.13418957079185195, -0.040915690415509624] 
[1.684999999999986, 0.1329425778957958, -0.04136842968398224] 
[1.689999999999986, 0.13162255156343416, -0.04173884018928408] 
[1.6949999999999859, 0.1302299850878234, -0.04202727427792884] 
[1.6999999999999857, 0.12876541847463574, -0.042234147754391105] 
[1.7049999999999856, 0.12722943855074162, -0.04235994017959835] 
[1.7099999999999855, 0.125622679089891, -0.04240519519230899] 
[1.7149999999999854, 0.123945820952243, -0.04237052084841251] 
[1.7199999999999853, 0.12219959223414373, -0.04225658997269949] 
[1.7249999999999852, 0.1203847684242087, -0.04206414051717373] 
[1.729999999999985, 0.11850217256143443, -0.041793975919518465] 
[1.734999999999985, 0.11655267539074299, -0.041446965454886714] 
[1.739999999999985, 0.11453719551105836, -0.04102404457376606] 
[1.7449999999999848, 0.11245669951072532, -0.0405262152182741] 
[1.7499999999999847, 0.11031220208481454, -0.03995454610887739] 
[1.7549999999999846, 0.10810476612861479, -0.03931017299319811] 
[1.7599999999999845, 0.10583550280139792, -0.038594298848285004] 
[1.7649999999999844, 0.10350557155435937, -0.037808194027482867] 
[1.7699999999999843, 0.10111618011648947, -0.03695319634284491] 
[1.7749999999999841, 0.09866858443202388, -0.03603071107389941] 
[1.779999999999984, 0.09616408854305887, -0.03504221089351336] 
[1.784999999999984, 0.09360404441090352, -0.03398923570159688] 
[1.7899999999999838, 0.09098985166977995, -0.03287339235746818] 
[1.7949999999999837, 0.08832295730657906, -0.03169635430185684] 
[1.7999999999999836, 0.08560485526053574, -0.030459861059766592] 
[1.8049999999999835, 0.08283708593690824, -0.029165717615753435] 
[1.8099999999999834, 0.08002123562903339, -0.02781579365360338] 
[1.8149999999999833, 0.0771589358434847, -0.026412022652920135] 
[1.8199999999999832, 0.07425186252348563, -0.024956400835757318] 
[1.824999999999983, 0.07130173516622543, -0.02345098595715342] 
[1.829999999999983, 0.06831031583028925, -0.021897895934248925] 
[1.8349999999999829, 0.06527940803004623, -0.02029930730958178] 
[1.8399999999999828, 0.062210855514535195, -0.018657453545164827] 
[1.8449999999999827, 0.059106540929144635, -0.01697462314504128] 
[1.8499999999999825, 0.05596838435919439, -0.015253157605183743] 
[1.8549999999999824, 0.05279834175538613, -0.013495449190839103] 
[1.8599999999999823, 0.04959840324198875, -0.011703938542714443] 
[1.8649999999999822, 0.04637059130955523, -0.009881112114735082] 
[1.8699999999999821, 0.04311695889491801, -0.008029499447470109] 
[1.874999999999982, 0.03983958735217048, -0.0061516702826978666] 
[1.879999999999982, 0.036540584319299914, -0.004250231525956498] 
[1.8849999999999818, 0.03322208148607994, -0.0023278240652753143] 
[1.8899999999999817, 0.029886232269745905, -0.0003871194555931392] 
[1.8949999999999816, 0.0265352094058503, 0.0015691835203785645] 
[1.8999999999999815, 0.023171202462516374, 0.003538362402915143] 
[1.9049999999999814, 0.019796415287062316, 0.005517674704647677] 
[1.9099999999999813, 0.016413063394645336, 0.007504361644558803] 
[1.9149999999999812, 0.01302337130916342, 0.009495651951779469] 
[1.919999999999981, 0.009629569867143025, 0.011488765723656865] 
[1.924999999999981, 0.006233893495725616, 0.013480918322010964] 
[1.9299999999999808, 0.0028385774761381963, 0.015469324291104251] 
[1.9349999999999807, -0.0005541447958115858, 0.017451201280623073] 
[1.9399999999999806, -0.003942044540639378, 0.019423773956913033] 
[1.9449999999999805, -0.007322900305995108, 0.021384277885826333] 
[1.9499999999999804, -0.01069450064609226, 0.023329963370823804] 
[1.9549999999999803, -0.01405464675878553, 0.02525809923042404] 
[1.9599999999999802, -0.017401155069756064, 0.027165976499699106] 
[1.96499999999998, -0.02073185975379602, 0.029050912041271134] 
[1.96999999999998, -0.024044615183811464, 0.03091025205215423] 
[1.9749999999999799, -0.027337298298874664, 0.032741375453797975] 
[1.9799999999999798, -0.03060781088344275, 0.03454169715380609] 
[1.9849999999999797, -0.033854081750707046, 0.03630867116901037] 
[1.9899999999999796, -0.03707406882393411, 0.03803979360085697] 
[1.9949999999999795, -0.04026576111059202, 0.039732605455392166] 
[1.9999999999999793, -0.04342718056501129, 0.04138469530149865] 
[2.0049999999999795, -0.04655638383629564, 0.0429937017624134] 
[2.0099999999999794, -0.04965146389916152, 0.04455731583693652] 
[2.0149999999999793, -0.05271055156633518, 0.04607328304810039] 
[2.019999999999979, -0.055731816882060504, 0.04753940541839461] 
[2.024999999999979, -0.05871347039716114, 0.04895354327192039] 
[2.029999999999979, -0.06165376432694639, 0.05031361686506556] 
[2.034999999999979, -0.06455099359404541, 0.05161760784843771] 
[2.0399999999999787, -0.06740349675899149, 0.052863560563858616] 
[2.0449999999999786, -0.07020965684205292, 0.05404958318120113] 
[2.0499999999999785, -0.07296790204041499, 0.055173848680734584] 
[2.0549999999999784, -0.07567670634535655, 0.05623459568743248] 
[2.0599999999999783, -0.07833459006453351, 0.057230129164384934] 
[2.064999999999978, -0.08094012025487933, 0.05815882097304767] 
[2.069999999999978, -0.08349191107196009, 0.059019110308549325] 
[2.074999999999978, -0.08598862404188153, 0.05980950401867273] 
[2.079999999999978, -0.08842896826203794, 0.06052857681542555] 
[2.0849999999999778, -0.09081170053712306, 0.06117497138832626] 
[2.0899999999999777, -0.09313562545689279, 0.061747398428657195] 
[2.0949999999999775, -0.09539959542218403, 0.06224463657398249] 
[2.0999999999999774, -0.09760251062565621, 0.06266553228220177] 
[2.1049999999999773, -0.09974331899363688, 0.06300899964431515] 
[2.1099999999999772, -0.10182101609532493, 0.06327402014491902] 
[2.114999999999977, -0.10383464502543815, 0.06345964237923993] 
[2.119999999999977, -0.10578329626619082, 0.06356498173525292] 
[2.124999999999977, -0.10766610753425554, 0.06358922004912596] 
[2.129999999999977, -0.10948226361810649, 0.06353160524188871] 
[2.1349999999999767, -0.1112309962108605, 0.06339145094484885] 
[2.1399999999999766, -0.11291158374343337, 0.06316813612087435] 
[2.1449999999999765, -0.11452335122251343, 0.0628611046882327] 
[2.1499999999999764, -0.11606567007752515, 0.06246986515322999] 
[2.1549999999999763, -0.11753795802041615, 0.06199399025742839] 
[2.159999999999976, -0.11893967892175221, 0.06143311664474201] 
[2.164999999999976, -0.12027034270624899, 0.06078694455322246] 
[2.169999999999976, -0.12152950527050825, 0.06005523753584651] 
[2.174999999999976, -0.12271676842536021, 0.059237822214112716] 
[2.1799999999999757, -0.12383177986484493, 0.05833458806774214] 
